ID_no,gripForce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,ranking
0,54.9,18.4,60.0,217.0,C
1,36.4,16.3,53.0,229.0,A
2,44.8,12.0,49.0,181.0,C
3,41.4,15.2,53.0,219.0,B
4,43.5,27.1,45.0,217.0,B
5,23.8,21.0,27.0,153.0,B
6,22.7,0.8,18.0,146.0,D
7,45.9,12.3,42.0,234.0,B
8,40.4,18.6,34.0,148.0,C
9,57.9,12.1,55.0,213.0,B
10,43.5,16.0,68.0,211.0,A
11,21.5,30.0,0.0,90.0,D
12,23.1,13.1,28.0,144.0,C
13,52.5,19.2,55.0,232.0,C
14,48.9,7.2,54.0,213.0,C
15,34.1,19.0,30.0,155.0,A
16,25.7,22.9,39.0,178.0,C
17,59.6,17.8,61.0,239.0,A
18,41.3,15.1,53.0,225.0,B
19,25.4,20.5,36.0,137.0,B
20,25.0,10.7,39.0,160.0,C
21,36.8,29.1,25.0,122.0,A
22,26.1,19.7,62.0,215.0,D
23,44.5,11.6,49.0,196.0,B
24,24.6,27.5,32.0,169.0,C
25,39.3,4.0,43.0,131.0,C
26,25.9,8.1,32.0,151.0,D
27,33.8,3.7,24.0,211.0,D
28,46.2,8.1,54.0,232.0,C
29,30.8,24.4,30.0,143.0,A
30,36.4,26.4,38.0,246.0,C
31,50.0,9.1,51.0,223.0,C
32,37.2,23.0,37.0,145.0,A
33,34.7,-2.0,40.0,192.0,D
34,23.8,21.3,39.0,154.0,B
35,51.5,12.1,54.0,224.0,C
36,51.2,6.3,46.0,178.0,D
37,51.2,18.4,62.0,208.0,A
38,52.3,16.2,62.0,232.0,A
39,48.0,1.8,59.0,219.0,D
40,28.9,1.0,32.0,230.0,D
41,42.0,9.0,43.0,185.0,D
42,40.0,18.2,38.0,227.0,C
43,21.9,22.2,24.0,129.0,C
44,29.3,26.6,50.0,190.0,A
45,45.0,14.5,37.0,249.0,D
46,46.3,14.2,55.0,220.0,B
47,19.9,-9.9,44.0,159.0,D
48,52.6,18.8,55.0,247.0,A
49,36.8,18.3,38.0,205.0,B
50,51.4,24.7,55.0,246.0,A
51,45.4,18.1,56.0,234.0,A
52,25.1,14.7,19.0,139.0,C
53,32.1,20.2,33.0,164.0,B
54,16.6,2.1,5.0,105.0,D
55,41.6,17.8,30.0,198.0,B
56,40.2,16.2,43.0,232.0,C
57,18.7,17.4,20.0,111.0,C
58,50.7,3.6,25.0,153.0,D
59,46.2,7.1,22.0,205.0,D
60,42.1,20.9,47.0,241.0,C
61,45.9,7.2,55.0,193.0,D
62,24.0,13.5,28.0,160.0,C
63,28.1,25.5,48.0,178.0,A
64,20.8,25.5,30.0,120.0,B
65,34.1,6.7,17.0,140.0,D
66,49.5,12.1,48.0,213.0,B
67,29.7,13.4,23.0,159.0,D
68,28.8,20.7,15.0,133.0,B
69,47.7,16.6,54.0,233.0,A
70,36.9,3.4,25.0,218.0,D
71,35.4,9.5,27.0,184.0,C
72,46.7,16.8,53.0,220.0,A
73,40.4,13.9,31.0,211.0,C
74,36.7,9.8,50.0,213.0,D
75,43.6,-9.3,46.0,219.0,D
76,39.7,20.5,50.0,224.0,B
77,18.9,12.4,17.0,116.0,D
78,45.6,12.7,54.0,194.0,B
79,29.3,18.4,12.0,132.0,B
80,25.2,23.1,18.0,164.0,D
81,29.6,22.4,23.0,135.0,A
82,25.1,18.2,25.0,157.0,B
83,27.5,29.4,39.0,175.0,A
84,39.3,11.3,35.0,220.0,B
85,48.8,16.0,49.0,225.0,B
86,39.5,20.0,39.0,156.0,C
87,23.1,28.6,46.0,165.0,A
88,28.5,22.9,57.0,197.0,A
89,52.7,14.7,68.0,260.0,A
90,19.7,22.9,28.0,130.0,C
91,51.5,17.1,64.0,237.0,A
92,45.1,22.2,54.0,239.0,A
93,53.4,24.3,56.0,210.0,B
94,47.6,20.6,48.0,213.0,B
95,49.6,18.7,54.0,242.0,A
96,21.1,18.6,17.0,136.0,C
97,34.6,19.0,54.0,188.0,C
98,47.9,11.1,44.0,162.0,B
99,22.9,17.9,30.0,136.0,D
100,42.3,10.8,33.0,196.0,C
101,24.9,7.0,5.0,120.0,D
102,22.8,29.8,41.0,155.0,A
103,28.3,8.6,15.0,162.0,D
104,39.3,1.9,42.0,200.0,D
105,47.7,17.2,55.0,242.0,A
106,33.7,5.4,33.0,201.0,D
107,47.9,14.5,53.0,170.0,B
108,59.8,19.7,59.0,228.0,A
109,31.0,23.5,23.0,130.0,C
110,32.1,15.6,38.0,165.0,B
111,49.7,22.5,46.0,239.0,A
112,41.1,5.3,38.0,194.0,C
113,48.8,15.3,56.0,229.0,A
114,50.0,18.1,59.0,218.0,B
115,43.3,18.6,47.0,209.0,C
116,48.3,21.1,64.0,254.0,B
117,26.3,31.3,24.0,162.0,C
118,40.9,22.8,56.0,253.0,A
119,20.5,16.5,38.0,155.0,B
120,40.2,21.7,63.0,201.0,B
121,49.2,16.7,55.0,229.0,A
122,26.5,29.4,41.0,215.0,A
123,21.2,4.3,16.0,150.0,D
124,29.7,23.7,44.0,183.0,A
125,32.6,21.4,59.0,200.0,D
126,36.6,13.7,25.0,183.0,D
127,52.5,11.7,56.0,257.0,B
128,22.3,12.5,25.0,130.0,C
129,57.0,16.1,47.0,222.0,A
130,25.7,21.1,47.0,159.0,A
131,46.5,10.0,48.0,185.0,C
132,42.7,11.7,46.0,208.0,C
133,36.3,6.1,37.0,180.0,D
134,31.8,21.6,50.0,204.0,A
135,27.3,28.0,37.0,173.0,A
136,25.7,3.0,0.0,58.0,D
137,45.9,13.0,66.0,235.0,B
138,53.7,26.0,41.0,211.0,C
139,28.6,-6.9,36.0,210.0,D
140,23.2,14.7,41.0,165.0,C
141,22.2,22.5,35.0,171.0,C
142,47.3,16.2,53.0,181.0,B
143,40.5,9.8,41.0,188.0,B
144,44.6,10.9,52.0,226.0,D
145,49.5,13.0,49.0,243.0,C
146,27.5,21.5,37.0,150.0,B
147,39.4,13.0,54.0,248.0,C
148,46.0,26.2,46.0,204.0,B
149,29.9,14.6,27.0,126.0,C
150,37.7,20.5,40.0,195.0,A
151,30.1,22.0,33.0,182.0,D
152,27.0,31.7,44.0,186.0,A
153,39.6,10.2,29.0,186.0,D
154,43.1,18.6,37.0,198.0,C
155,25.3,19.4,31.0,165.0,B
156,27.3,20.8,47.0,169.0,C
157,39.7,10.1,53.0,231.0,B
158,39.1,12.1,46.0,229.0,C
159,33.3,12.2,44.0,167.0,C
160,42.1,9.5,30.0,212.0,B
161,30.7,29.7,48.0,186.0,A
162,34.2,8.5,36.0,219.0,D
163,24.7,16.7,43.0,174.0,B
164,25.4,18.0,26.0,171.0,B
165,47.1,12.3,52.0,195.0,A
166,42.7,25.0,29.0,211.0,B
167,20.8,18.7,36.0,161.0,B
168,34.9,22.6,37.0,148.0,A
169,20.5,13.5,16.0,110.0,C
170,39.2,7.0,31.0,195.0,C
171,27.5,21.1,27.0,140.0,A
172,47.3,16.0,41.0,206.0,A
173,45.0,11.6,41.0,223.0,C
174,26.9,26.3,36.0,174.0,A
175,47.3,15.4,39.0,215.0,B
176,40.6,15.8,29.0,188.0,B
177,23.9,15.7,23.0,130.0,C
178,24.5,13.7,59.0,157.0,C
179,46.2,21.5,65.0,248.0,A
180,32.9,28.8,43.0,164.0,A
181,34.9,7.6,33.0,166.0,B
182,50.8,16.8,49.0,257.0,B
183,25.5,18.8,11.0,117.0,C
184,38.8,19.9,67.0,240.0,A
185,25.0,21.7,31.0,170.0,C
186,23.5,18.5,20.0,152.0,B
187,37.7,25.5,35.0,237.0,D
188,50.1,22.1,45.0,206.0,A
189,22.7,10.7,0.0,134.0,D
190,48.3,28.7,52.0,203.0,A
191,47.8,14.1,49.0,244.0,B
192,47.8,24.2,47.0,201.0,A
193,35.6,9.0,22.0,135.0,D
194,50.6,16.0,51.0,231.0,A
195,47.4,16.6,60.0,205.0,B
196,27.9,23.3,39.0,168.0,A
197,50.9,11.6,42.0,156.0,D
198,40.8,15.4,55.0,213.0,B
199,27.9,23.0,35.0,145.0,A
200,58.9,19.9,56.0,278.0,B
201,39.7,13.2,47.0,224.0,C
202,59.2,15.1,47.0,196.0,A
203,40.9,22.0,52.0,209.0,B
204,23.6,19.4,41.0,155.0,B
205,28.9,20.2,4.0,125.0,D
206,33.6,10.9,28.0,190.0,B
207,27.4,22.6,38.0,178.0,A
208,40.6,22.4,34.0,188.0,B
209,40.7,13.0,41.0,203.0,C
210,34.1,12.7,40.0,217.0,C
211,30.0,27.1,54.0,202.0,A
212,28.5,23.1,43.0,198.0,A
213,25.2,21.5,47.0,178.0,A
214,16.6,16.1,37.0,113.0,D
215,26.4,23.6,37.0,179.0,B
216,16.2,23.0,35.0,167.0,A
217,28.5,6.4,44.0,210.0,C
218,39.3,5.1,38.0,225.0,C
219,45.0,9.9,33.0,223.0,C
220,42.0,9.1,44.0,233.0,C
221,25.1,17.5,25.0,110.0,C
222,30.1,12.5,24.0,149.0,C
223,32.0,8.7,36.0,188.0,D
224,26.9,23.5,12.0,118.0,B
225,39.1,23.8,47.0,186.0,A
226,38.2,20.1,49.0,215.0,B
227,22.4,18.1,30.0,152.0,B
228,26.9,20.6,43.0,128.0,A
229,46.0,2.8,33.0,194.0,C
230,47.4,22.4,55.0,211.0,A
231,67.6,16.2,46.0,219.0,B
232,25.6,30.1,32.0,157.0,B
233,25.0,28.0,41.0,186.0,A
234,38.9,18.2,56.0,217.0,B
235,29.9,22.3,39.0,174.0,B
236,24.2,14.3,16.0,132.0,C
237,48.8,16.3,59.0,228.0,B
238,28.2,24.5,36.0,183.0,A
239,23.4,24.3,11.0,145.0,D
240,26.9,14.2,28.0,160.0,B
241,50.9,26.3,68.0,248.0,A
242,44.5,11.4,66.0,247.0,B
243,57.9,19.8,40.0,220.0,B
244,21.8,20.8,37.0,172.0,B
245,12.1,1.2,20.0,118.0,D
246,44.0,16.3,61.0,234.0,A
247,35.0,3.3,40.0,213.0,D
248,35.1,-2.4,12.0,162.0,D
249,19.5,20.5,24.0,134.0,C
250,34.3,20.2,35.0,186.0,C
251,45.9,7.8,46.0,204.0,C
252,45.3,18.3,44.0,241.0,C
253,24.8,20.1,12.0,122.0,C
254,21.6,10.9,26.0,131.0,C
255,43.3,17.3,47.0,246.0,B
256,38.1,14.3,37.0,216.0,C
257,43.5,14.5,42.0,230.0,B
258,29.1,14.8,43.0,170.0,C
259,37.7,6.0,50.0,193.0,D
260,38.1,16.2,40.0,151.0,D
261,44.7,7.7,45.0,221.0,C
262,42.8,7.4,29.0,181.0,D
263,25.0,21.4,41.0,163.0,A
264,22.9,17.9,27.0,126.0,B
265,28.9,-4.4,22.0,143.0,D
266,41.2,16.6,40.0,205.0,A
267,49.7,1.5,50.0,216.0,D
268,47.4,6.2,47.0,230.0,C
269,64.3,19.0,57.0,235.0,A
270,48.9,23.0,48.0,199.0,C
271,43.1,15.8,38.0,173.0,A
272,49.6,21.5,54.0,223.0,A
273,25.1,28.6,42.0,148.0,A
274,27.4,18.9,40.0,186.0,A
275,31.0,20.5,50.0,174.0,B
276,46.1,4.5,42.0,185.0,D
277,15.2,24.2,28.0,174.0,D
278,56.8,12.7,54.0,232.0,C
279,45.4,12.5,40.0,216.0,B
280,45.7,20.2,55.0,239.0,A
281,23.0,27.2,33.0,189.0,B
282,43.9,14.5,46.0,237.0,A
283,35.6,9.3,38.0,200.0,D
284,24.4,23.6,27.0,149.0,A
285,47.8,23.0,41.0,217.0,D
286,22.5,-5.0,13.0,150.0,D
287,55.4,16.7,50.0,215.0,A
288,18.6,19.4,22.0,160.0,D
289,24.7,16.5,11.0,125.0,C
290,26.8,19.9,51.0,183.0,A
291,54.3,20.0,61.0,241.0,B
292,44.6,23.3,60.0,212.0,B
293,25.8,16.8,32.0,162.0,B
294,26.6,28.0,43.0,204.0,C
295,23.8,10.1,42.0,172.0,C
296,37.1,14.3,31.0,174.0,A
