ID_no,gripForce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,ranking
0,54.9,18.4,60,217,C
1,36.4,16.3,53,229,A
2,44.8,12,49,181,C
3,41.4,15.2,53,219,B
4,43.5,27.1,45,217,B
5,23.8,21,27,153,B
6,22.7,0.8,18,146,D
7,45.9,12.3,42,234,B
8,40.4,18.6,34,148,C
9,57.9,12.1,55,213,B
10,43.5,16,68,211,A
11,21.5,30,0,90,D
12,23.1,13.1,28,144,C
13,52.5,19.2,55,232,C
14,48.9,7.2,54,213,C
15,34.1,19,30,155,A
16,25.7,22.9,39,178,C
17,59.6,17.8,61,239,A
18,41.3,15.1,53,225,B
19,25.4,20.5,36,137,B
20,25,10.7,39,160,C
21,36.8,29.1,25,122,A
22,26.1,19.7,62,215,D
23,44.5,11.6,49,196,B
24,24.6,27.5,32,169,C
25,39.3,4,43,131,C
26,25.9,8.1,32,151,D
27,33.8,3.7,24,211,D
28,46.2,8.1,54,232,C
29,30.8,24.4,30,143,A
30,36.4,26.4,38,246,C
31,50,9.1,51,223,C
32,37.2,23,37,145,A
33,34.7,-2,40,192,D
34,23.8,21.3,39,154,B
35,51.5,12.1,54,224,C
36,51.2,6.3,46,178,D
37,51.2,18.4,62,208,A
38,52.3,16.2,62,232,A
39,48,1.8,59,219,D
40,28.9,1,32,230,D
41,42,9,43,185,D
42,40,18.2,38,227,C
43,21.9,22.2,24,129,C
44,29.3,26.6,50,190,A
45,45,14.5,37,249,D
46,46.3,14.2,55,220,B
47,19.9,-9.9,44,159,D
48,52.6,18.8,55,247,A
49,36.8,18.3,38,205,B
50,51.4,24.7,55,246,A
51,45.4,18.1,56,234,A
52,25.1,14.7,19,139,C
53,32.1,20.2,33,164,B
54,16.6,2.1,5,105,D
55,41.6,17.8,30,198,B
56,40.2,16.2,43,232,C
57,18.7,17.4,20,111,C
58,50.7,3.6,25,153,D
59,46.2,7.1,22,205,D
60,42.1,20.9,47,241,C
61,45.9,7.2,55,193,D
62,24,13.5,28,160,C
63,28.1,25.5,48,178,A
64,20.8,25.5,30,120,B
65,34.1,6.7,17,140,D
66,49.5,12.1,48,213,B
67,29.7,13.4,23,159,D
68,28.8,20.7,15,133,B
69,47.7,16.6,54,233,A
70,36.9,3.4,25,218,D
71,35.4,9.5,27,184,C
72,46.7,16.8,53,220,A
73,40.4,13.9,31,211,C
74,36.7,9.8,50,213,D
75,43.6,-9.3,46,219,D
76,39.7,20.5,50,224,B
77,18.9,12.4,17,116,D
78,45.6,12.7,54,194,B
79,29.3,18.4,12,132,B
80,25.2,23.1,18,164,D
81,29.6,22.4,23,135,A
82,25.1,18.2,25,157,B
83,27.5,29.4,39,175,A
84,39.3,11.3,35,220,B
85,48.8,16,49,225,B
86,39.5,20,39,156,C
87,23.1,28.6,46,165,A
88,28.5,22.9,57,197,A
89,52.7,14.7,68,260,A
90,19.7,22.9,28,130,C
91,51.5,17.1,64,237,A
92,45.1,22.2,54,239,A
93,53.4,24.3,56,210,B
94,47.6,20.6,48,213,B
95,49.6,18.7,54,242,A
96,21.1,18.6,17,136,C
97,34.6,19,54,188,C
98,47.9,11.1,44,162,B
99,22.9,17.9,30,136,D
100,42.3,10.8,33,196,C
101,24.9,7,5,120,D
102,22.8,29.8,41,155,A
103,28.3,8.6,15,162,D
104,39.3,1.9,42,200,D
105,47.7,17.2,55,242,A
106,33.7,5.4,33,201,D
107,47.9,14.5,53,170,B
108,59.8,19.7,59,228,A
109,31,23.5,23,130,C
110,32.1,15.6,38,165,B
111,49.7,22.5,46,239,A
112,41.1,5.3,38,194,C
113,48.8,15.3,56,229,A
114,50,18.1,59,218,B
115,43.3,18.6,47,209,C
116,48.3,21.1,64,254,B
117,26.3,31.3,24,162,C
118,40.9,22.8,56,253,A
119,20.5,16.5,38,155,B
120,40.2,21.7,63,201,B
121,49.2,16.7,55,229,A
122,26.5,29.4,41,215,A
123,21.2,4.3,16,150,D
124,29.7,23.7,44,183,A
125,32.6,21.4,59,200,D
126,36.6,13.7,25,183,D
127,52.5,11.7,56,257,B
128,22.3,12.5,25,130,C
129,57,16.1,47,222,A
130,25.7,21.1,47,159,A
131,46.5,10,48,185,C
132,42.7,11.7,46,208,C
133,36.3,6.1,37,180,D
134,31.8,21.6,50,204,A
135,27.3,28,37,173,A
136,25.7,3,0,58,D
137,45.9,13,66,235,B
138,53.7,26,41,211,C
139,28.6,-6.9,36,210,D
140,23.2,14.7,41,165,C
141,22.2,22.5,35,171,C
142,47.3,16.2,53,181,B
143,40.5,9.8,41,188,B
144,44.6,10.9,52,226,D
145,49.5,13,49,243,C
146,27.5,21.5,37,150,B
147,39.4,13,54,248,C
148,46,26.2,46,204,B
149,29.9,14.6,27,126,C
150,37.7,20.5,40,195,A
151,30.1,22,33,182,D
152,27,31.7,44,186,A
153,39.6,10.2,29,186,D
154,43.1,18.6,37,198,C
155,25.3,19.4,31,165,B
156,27.3,20.8,47,169,C
157,39.7,10.1,53,231,B
158,39.1,12.1,46,229,C
159,33.3,12.2,44,167,C
